"G447_S25_L001","G448_S61_L001","G450_S19_L001","G451_S37_L001","G452_S26_L001","G454_S71_L001","G455_S18_L001","G456_S66_L001","G457_S56_L001","G458_S58_L001","G459_S41_L001","G460_S36_L001","G462_S48_L001","G463_S4_L001","G465_S2_L001","G466_S65_L001","G470_S20_L001","G471_S55_L001","G473_S35_L001","G474_S22_L001","G475_S70_L001","G476_S78_L001","G477_S12_L001","G478_S17_L001","G479_S9_L001","G480_S44_L001","G481_S6_L001","G482_S59_L001","G484_S23_L001","G485_S34_L001","G486_S13_L001","G487_S7_L001","G488_S69_L001","G489_S31_L001","G490_S49_L001","G491_S3_L001","G492_S76_L001","G497_S77_L001","G499_S53_L001","G500_S62_L001","G503_S39_L001","G504_S11_L001","G507_S54_L001","G508_S29_L001","G510_S42_L001","G512_S47_L001","G514_S73_L001","G515_S74_L001","G516_S68_L001","G518_S38_L001","G519_S63_L001","G521_S21_L001","G522_S45_L001","G523_S64_L001","G525_S46_L001","G526_S60_L001","G527_S72_L001","G528_S40_L001","G529_S27_L001","G533_S52_L001","G536_S16_L001","G540_S14_L001","G541_S8_L001","G543_S51_L001","G546_S15_L001","G549_S67_L001","G550_S43_L001","G554_S30_L001","G556_S33_L001","G560_S28_L001","G562_S5_L001","G566_S32_L001","G567_S57_L001","G568_S24_L001","G570_S50_L001","G572_S1_L001","G574_S10_L001","G576_S75_L001","GBlank1_S79_L001","GBlank2_S80_L001","GPCR1blank_S81_L001","GPCR2blank_S83_L001","Gpositivecontrol_S82_L001"
"ASV_113",0,71,0,0,0,0,0,870,1052,11,0,268,0,0,0,0,0,0,933,0,0,0,269,879,0,0,82,0,0,0,68,0,627,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,118,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1135",0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_114",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0
"ASV_1159",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_116",0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,2848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1164",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1165",0,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1172",0,0,0,0,0,0,0,0,0,0,0,0,0,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1173",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1174",0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
